;LDA1;LDA2;LDA3;LDA4
Ca;1.8283462099513619;2.2558680737973615;2.2857890788977424;3.1740099086527582
V;-0.11574160350157998;-0.7627751816259476;0.5476992690620569;0.42167988690573255
Mn;1.1437447748709384;0.1785167470034783;0.6654883655257228;-0.2593766343209457
Fe;0.4316047278850168;0.3272937424366222;-0.46211706980179773;-0.018141007686140215
Cu;-0.5358631839782148;0.008408284596791552;0.39138991036690846;0.2742372104120114
Zn;0.1602860315262857;0.6072670550779367;-0.9191073249767661;0.13870449184989916
Ga;-0.6768851432843633;0.027116742523372928;-0.28729940162684436;-0.023946328334596548
Rb;0.014931478398808436;0.03818738023071573;-0.021722001616125152;-0.04085692207782933
Sr;-2.37820808789872;-1.8602598143495725;-0.7287535456019841;-3.2280424173282802
Y;-0.5725771420405557;0.6271340155653402;-1.8415779313823144;-3.9333515865835578
Ba;-0.6517918477096785;0.06962474182344112;-0.43960573955709253;-0.30042270095217405
La;0.20251361126705988;0.20658074939327123;0.4159376507275114;-0.02733305008113269
Ce;-0.005437700761011278;-0.0528300690833411;-0.004389125627101549;0.11112304559551628
Pr;0.015428738266934434;0.008072245771204009;-0.0065962657486136654;-0.03984300565697211
Nd;-9.992009290302732e-05;-0.007261591294562863;-0.002704215564576838;0.0032638985559412673
Sm;0.005442823841333246;0.003973683432982318;0.010669691297105276;-0.024697174358551892
Eu;0.01761833176629196;0.011310403587032739;-0.006345516106330431;-0.010554576634886894
Gd;-0.007652223065822878;-0.019840463302703126;0.014488885247409433;0.0038296825956471853
Tb;0.0178957368295996;0.012555804938099498;-0.011168221488372432;-0.013297322005065032
Dy;-0.009664074930184625;-0.07023373797808244;-0.16228200472406593;-0.021024043201968053
Ho;0.04575804675910028;-0.3451768114989968;0.4353214766750104;0.628925821854933
Er;0.3207344137482361;0.18584387155872806;0.05522252644964351;2.1681475582665883
Tm;0.010366480717579925;0.02397564456065028;0.00447998673855679;-0.03906992341477594
Yb;0.09294160691035547;2.914042007312894;0.4411796341555745;0.24980497832818482
Lu;0.028710870976366376;-4.1043808381567235;0.9403943972604971;1.404047431289767
Hf;-0.03736800214768652;-0.052439492550810075;0.0022358146756596936;0.03327884564663093
Th;-0.04132371332448043;0.06923232493041415;0.024592021778096305;0.0087131716205583
U;0.8701166909146769;-0.24531300732156178;-1.325038309185174;-0.5149445676902985
